date,index
2017/01,278.96
2017/02,282.53
2017/03,294.66
2017/04,306.68
2017/05,315.05
2017/06,320.07
2017/07,325.22
2017/08,329.39
2017/09,330.33
2017/10,334.34
2017/11,342.8
2017/12,346.74
2018/01,349.71
2018/02,340.18
2018/03,344.82
2018/04,344.39
2018/05,365.5
2018/06,374.62
2018/07,385.4
2018/08,393.0
2018/09,388.2
2018/10,393.84
2018/11,408.44
2018/12,416.49
2019/01,438.16
2019/02,424.23
2019/03,438.77
2019/04,462.73
